Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Months Code,Months,Unit,Value,Flag,Flag Description
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),15,Wheat,2014,2014,7021,Annual value,USD,216.2,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),15,Wheat,2015,2015,7021,Annual value,USD,172.9,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),15,Wheat,2016,2016,7021,Annual value,USD,159.9,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),15,Wheat,2017,2017,7021,Annual value,USD,158,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),15,Wheat,2018,2018,7021,Annual value,USD,195.1,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),15,Wheat,2019,2019,7021,Annual value,USD,183.3,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),15,Wheat,2020,2020,7021,Annual value,USD,200.4,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),15,Wheat,2021,2021,7021,Annual value,USD,259.5,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),15,Wheat,2022,2022,7021,Annual value,USD,328.4,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),15,Wheat,2023,2023,7021,Annual value,USD,239.7,A,Official figure
